"","1st_network","Region","cluster","Bridgeness","freq"
"1","DMN","Angular_L_1","23","Global_Bridge",0.227272727272727
"2","DMN","Angular_L_1","23","Local_Bridge",0.0454545454545455
"3","DMN","Angular_L_1","23","Not_a_Bridge",0.136363636363636
"4","DMN","Angular_L_1","23","Super_Bridge",0.590909090909091
"5","DMN","Angular_L_1","56","Global_Bridge",1e-05
"6","DMN","Angular_L_1","56","Local_Bridge",0.142855714285714
"7","DMN","Angular_L_1","56","Not_a_Bridge",0.214283571428571
"8","DMN","Angular_L_1","56","Super_Bridge",0.642850714285714
"9","SMN","Cerebelum_6_R","23","Global_Bridge",0.0833333333333333
"10","SMN","Cerebelum_6_R","23","Local_Bridge",0.25
"11","SMN","Cerebelum_6_R","23","Not_a_Bridge",0.166666666666667
"12","SMN","Cerebelum_6_R","23","Super_Bridge",0.5
"13","SMN","Cerebelum_6_R","56","Global_Bridge",1e-05
"14","SMN","Cerebelum_6_R","56","Local_Bridge",0.599994
"15","SMN","Cerebelum_6_R","56","Not_a_Bridge",0.099999
"16","SMN","Cerebelum_6_R","56","Super_Bridge",0.299997
"17","DMN","Cerebelum_Crus1_R_1","23","Global_Bridge",0.0909090909090909
"18","DMN","Cerebelum_Crus1_R_1","23","Local_Bridge",0.181818181818182
"19","DMN","Cerebelum_Crus1_R_1","23","Not_a_Bridge",0.545454545454545
"20","DMN","Cerebelum_Crus1_R_1","23","Super_Bridge",0.181818181818182
"21","DMN","Cerebelum_Crus1_R_1","56","Global_Bridge",0.142857142857143
"22","DMN","Cerebelum_Crus1_R_1","56","Local_Bridge",0.142857142857143
"23","DMN","Cerebelum_Crus1_R_1","56","Not_a_Bridge",0.428571428571429
"24","DMN","Cerebelum_Crus1_R_1","56","Super_Bridge",0.285714285714286
"25","FPN","Cerebelum_Crus1_R_2","23","Global_Bridge",0.142857142857143
"26","FPN","Cerebelum_Crus1_R_2","23","Local_Bridge",0.357142857142857
"27","FPN","Cerebelum_Crus1_R_2","23","Not_a_Bridge",0.214285714285714
"28","FPN","Cerebelum_Crus1_R_2","23","Super_Bridge",0.285714285714286
"29","FPN","Cerebelum_Crus1_R_2","56","Global_Bridge",0.12499875
"30","FPN","Cerebelum_Crus1_R_2","56","Local_Bridge",0.2499975
"31","FPN","Cerebelum_Crus1_R_2","56","Not_a_Bridge",0.62499375
"32","FPN","Cerebelum_Crus1_R_2","56","Super_Bridge",1e-05
"33","FPN","Cerebelum_Crus2_R","23","Global_Bridge",0.11111
"34","FPN","Cerebelum_Crus2_R","23","Local_Bridge",0.33333
"35","FPN","Cerebelum_Crus2_R","23","Not_a_Bridge",1e-05
"36","FPN","Cerebelum_Crus2_R","23","Super_Bridge",0.55555
"37","FPN","Cerebelum_Crus2_R","56","Global_Bridge",0.125
"38","FPN","Cerebelum_Crus2_R","56","Local_Bridge",0.125
