"","1st_network","Region","cluster","Hub_consensus","freq"
"1","DMN","Angular_L_1","23","Connector",0.0454536363636364
"2","DMN","Angular_L_1","23","Isolate",1e-05
"3","DMN","Angular_L_1","23","Peripheral",1e-05
"4","DMN","Angular_L_1","23","Provincial",0.909072727272727
"5","DMN","Angular_L_1","23","Satellite",0.0454536363636364
"6","DMN","Angular_L_1","56","Connector",0.357132142857143
"7","DMN","Angular_L_1","56","Isolate",1e-05
"8","DMN","Angular_L_1","56","Peripheral",1e-05
"9","DMN","Angular_L_1","56","Provincial",0.642837857142857
"10","DMN","Angular_L_1","56","Satellite",1e-05
"11","SMN","Cerebelum_6_R","23","Connector",0.166665
"12","SMN","Cerebelum_6_R","23","Isolate",1e-05
"13","SMN","Cerebelum_6_R","23","Peripheral",0.166665
"14","SMN","Cerebelum_6_R","23","Provincial",0.0833325
"15","SMN","Cerebelum_6_R","23","Satellite",0.5833275
"16","SMN","Cerebelum_6_R","56","Connector",1e-05
"17","SMN","Cerebelum_6_R","56","Isolate",1e-05
"18","SMN","Cerebelum_6_R","56","Peripheral",0.399988
"19","SMN","Cerebelum_6_R","56","Provincial",1e-05
"20","SMN","Cerebelum_6_R","56","Satellite",0.599982
"21","DMN","Cerebelum_Crus1_R_1","23","Connector",0.363629090909091
"22","DMN","Cerebelum_Crus1_R_1","23","Isolate",1e-05
"23","DMN","Cerebelum_Crus1_R_1","23","Peripheral",1e-05
"24","DMN","Cerebelum_Crus1_R_1","23","Provincial",0.545443636363636
"25","DMN","Cerebelum_Crus1_R_1","23","Satellite",0.0909072727272727
"26","DMN","Cerebelum_Crus1_R_1","56","Connector",0.285711428571429
"27","DMN","Cerebelum_Crus1_R_1","56","Isolate",1e-05
"28","DMN","Cerebelum_Crus1_R_1","56","Peripheral",0.142855714285714
"29","DMN","Cerebelum_Crus1_R_1","56","Provincial",0.142855714285714
"30","DMN","Cerebelum_Crus1_R_1","56","Satellite",0.428567142857143
"31","FPN","Cerebelum_Crus1_R_2","23","Connector",0.214283571428571
"32","FPN","Cerebelum_Crus1_R_2","23","Isolate",1e-05
"33","FPN","Cerebelum_Crus1_R_2","23","Peripheral",0.214283571428571
"34","FPN","Cerebelum_Crus1_R_2","23","Provincial",0.285711428571429
"35","FPN","Cerebelum_Crus1_R_2","23","Satellite",0.285711428571429
"36","FPN","Cerebelum_Crus1_R_2","56","Connector",0.49999
"37","FPN","Cerebelum_Crus1_R_2","56","Isolate",1e-05
